Symbol,Date,Event_Type,Price,Company Name,Type,MarketCap
ABBOTINDIA,2026-04-26,Primary_Buy,100.0,ABBOTINDIA,Non-PSU,Large
AIAENG,2026-04-26,Primary_Buy,100.0,AIAENG,Non-PSU,Large
AJANTPHARM,2026-04-26,Primary_Buy,100.0,AJANTPHARM,Non-PSU,Large
ALOKINDS,2026-04-26,Primary_Buy,100.0,ALOKINDS,Non-PSU,Large
APLLTD,2026-04-26,Primary_Buy,100.0,APLLTD,Non-PSU,Large
ARE&M,2026-04-26,Primary_Buy,100.0,ARE&M,Non-PSU,Large
ASIANPAINT,2026-04-26,Primary_Buy,100.0,ASIANPAINT,Non-PSU,Large
ASTRAL,2026-04-26,Primary_Buy,100.0,ASTRAL,Non-PSU,Large
ATUL,2026-04-26,Primary_Buy,100.0,ATUL,Non-PSU,Large
AUBANK,2026-04-26,Primary_Buy,100.0,AUBANK,Non-PSU,Large
AUROPHARMA,2026-04-26,Primary_Buy,100.0,AUROPHARMA,Non-PSU,Large
AXISBANK,2026-04-26,Primary_Buy,100.0,AXISBANK,Non-PSU,Large
BAJAJ-AUTO,2026-04-26,Primary_Buy,100.0,BAJAJ-AUTO,Non-PSU,Large
BAJFINANCE,2026-04-26,Primary_Buy,100.0,BAJFINANCE,Non-PSU,Large
BANKBARODA,2026-04-26,Primary_Buy,100.0,BANKBARODA,Non-PSU,Large
BANKINDIA,2026-04-26,Primary_Buy,100.0,BANKINDIA,Non-PSU,Large
BATAINDIA,2026-04-26,Primary_Buy,100.0,BATAINDIA,Non-PSU,Large
BAYERCROP,2026-04-26,Primary_Buy,100.0,BAYERCROP,Non-PSU,Large
BBOX,2026-04-26,Primary_Buy,100.0,BBOX,Non-PSU,Large
BERGEPAINT,2026-04-26,Primary_Buy,100.0,BERGEPAINT,Non-PSU,Large
BRITANNIA,2026-04-26,Primary_Buy,100.0,BRITANNIA,Non-PSU,Large
CANBK,2026-04-26,Primary_Buy,100.0,CANBK,Non-PSU,Large
CAPLIPOINT,2026-04-26,Primary_Buy,100.0,CAPLIPOINT,Non-PSU,Large
CASTROLIND,2026-04-26,Primary_Buy,100.0,CASTROLIND,Non-PSU,Large
CCL,2026-04-26,Primary_Buy,100.0,CCL,Non-PSU,Large
CEATLTD,2026-04-26,Primary_Buy,100.0,CEATLTD,Non-PSU,Large
CENTRALBK,2026-04-26,Primary_Buy,100.0,CENTRALBK,Non-PSU,Large
CERA,2026-04-26,Primary_Buy,100.0,CERA,Non-PSU,Large
CGPOWER,2026-04-26,Primary_Buy,100.0,CGPOWER,Non-PSU,Large
CHOLAFIN,2026-04-26,Primary_Buy,100.0,CHOLAFIN,Non-PSU,Large
COCHINSHIP,2026-04-26,Primary_Buy,100.0,COCHINSHIP,Non-PSU,Large
COFORGE,2026-04-26,Primary_Buy,100.0,COFORGE,Non-PSU,Large
CUMMINSIND,2026-04-26,Primary_Buy,100.0,CUMMINSIND,Non-PSU,Large
CYIENT,2026-04-26,Primary_Buy,100.0,CYIENT,Non-PSU,Large
DBCORP,2026-04-26,Primary_Buy,100.0,DBCORP,Non-PSU,Large
DBL,2026-04-26,Primary_Buy,100.0,DBL,Non-PSU,Large
DHANUKA,2026-04-26,Primary_Buy,100.0,DHANUKA,Non-PSU,Large
DIVISLAB,2026-04-26,Primary_Buy,100.0,DIVISLAB,Non-PSU,Large
DMART,2026-04-26,Primary_Buy,100.0,DMART,Non-PSU,Large
ECLERX,2026-04-26,Primary_Buy,100.0,ECLERX,Non-PSU,Large
EICHERMOT,2026-04-26,Primary_Buy,100.0,EICHERMOT,Non-PSU,Large
EMAMILTD,2026-04-26,Primary_Buy,100.0,EMAMILTD,Non-PSU,Large
ENGINERSIN,2026-04-26,Primary_Buy,100.0,ENGINERSIN,Non-PSU,Large
ERIS,2026-04-26,Primary_Buy,100.0,ERIS,Non-PSU,Large
FEDERALBNK,2026-04-26,Primary_Buy,100.0,FEDERALBNK,Non-PSU,Large
FIEMIND,2026-04-26,Primary_Buy,100.0,FIEMIND,Non-PSU,Large
FINPIPE,2026-04-26,Primary_Buy,100.0,FINPIPE,Non-PSU,Large
GALAXYSURF,2026-04-26,Primary_Buy,100.0,GALAXYSURF,Non-PSU,Large
GICRE,2026-04-26,Primary_Buy,100.0,GICRE,Non-PSU,Large
GLAND,2026-04-26,Primary_Buy,100.0,GLAND,Non-PSU,Large
