Symbol,Date,Event_Type,Price,Company Name,Type,MarketCap
3MINDIA,2026-06-01,Primary_Buy,100.0,3MINDIA,Non-PSU,Large
AADHARHFC,2026-06-01,Primary_Buy,100.0,AADHARHFC,Non-PSU,Large
ABB,2026-06-01,Primary_Buy,100.0,ABB,Non-PSU,Large
ABBOTINDIA,2026-06-01,Primary_Buy,100.0,ABBOTINDIA,Non-PSU,Large
ABCAPITAL,2026-06-01,Primary_Buy,100.0,ABCAPITAL,Non-PSU,Large
ACE,2026-06-01,Primary_Buy,100.0,ACE,Non-PSU,Large
AEGISLOG,2026-06-01,Primary_Buy,100.0,AEGISLOG,Non-PSU,Large
AIIL,2026-06-01,Primary_Buy,100.0,AIIL,Non-PSU,Large
AJANTPHARM,2026-06-01,Primary_Buy,100.0,AJANTPHARM,Non-PSU,Large
AJAXENGG,2026-06-01,Primary_Buy,100.0,AJAXENGG,Non-PSU,Large
ALIVUS,2026-06-01,Primary_Buy,100.0,ALIVUS,Non-PSU,Large
APARINDS,2026-06-01,Primary_Buy,100.0,APARINDS,Non-PSU,Large
APLAPOLLO,2026-06-01,Primary_Buy,100.0,APLAPOLLO,Non-PSU,Large
ASHOKLEY,2026-06-01,Primary_Buy,100.0,ASHOKLEY,Non-PSU,Large
ASIANPAINT,2026-06-01,Primary_Buy,100.0,ASIANPAINT,Non-PSU,Large
ASKAUTOLTD,2026-06-01,Primary_Buy,100.0,ASKAUTOLTD,Non-PSU,Large
ASTRAL,2026-06-01,Primary_Buy,100.0,ASTRAL,Non-PSU,Large
AUBANK,2026-06-01,Primary_Buy,100.0,AUBANK,Non-PSU,Large
AXISBANK,2026-06-01,Primary_Buy,100.0,AXISBANK,Non-PSU,Large
BAJAJ-AUTO,2026-06-01,Primary_Buy,100.0,BAJAJ-AUTO,Non-PSU,Large
BAJAJFINSV,2026-06-01,Primary_Buy,100.0,BAJAJFINSV,Non-PSU,Large
BAJAJHFL,2026-06-01,Primary_Buy,100.0,BAJAJHFL,Non-PSU,Large
BAJFINANCE,2026-06-01,Primary_Buy,100.0,BAJFINANCE,Non-PSU,Large
BANCOINDIA,2026-06-01,Primary_Buy,100.0,BANCOINDIA,Non-PSU,Large
BANKBARODA,2026-06-01,Primary_Buy,100.0,BANKBARODA,Non-PSU,Large
BANKINDIA,2026-06-01,Primary_Buy,100.0,BANKINDIA,Non-PSU,Large
BAYERCROP,2026-06-01,Primary_Buy,100.0,BAYERCROP,Non-PSU,Large
BERGEPAINT,2026-06-01,Primary_Buy,100.0,BERGEPAINT,Non-PSU,Large
BHARTIHEXA,2026-06-01,Primary_Buy,100.0,BHARTIHEXA,Non-PSU,Large
BIKAJI,2026-06-01,Primary_Buy,100.0,BIKAJI,Non-PSU,Large
BLUEJET,2026-06-01,Primary_Buy,100.0,BLUEJET,Non-PSU,Large
BOSCHLTD,2026-06-01,Primary_Buy,100.0,BOSCHLTD,Non-PSU,Large
BRITANNIA,2026-06-01,Primary_Buy,100.0,BRITANNIA,Non-PSU,Large
BSOFT,2026-06-01,Primary_Buy,100.0,BSOFT,Non-PSU,Large
CANBK,2026-06-01,Primary_Buy,100.0,CANBK,Non-PSU,Large
CAPLIPOINT,2026-06-01,Primary_Buy,100.0,CAPLIPOINT,Non-PSU,Large
CASTROLIND,2026-06-01,Primary_Buy,100.0,CASTROLIND,Non-PSU,Large
CCL,2026-06-01,Primary_Buy,100.0,CCL,Non-PSU,Large
CEATLTD,2026-06-01,Primary_Buy,100.0,CEATLTD,Non-PSU,Large
CEMPRO,2026-06-01,Primary_Buy,100.0,CEMPRO,Non-PSU,Large
CENTRALBK,2026-06-01,Primary_Buy,100.0,CENTRALBK,Non-PSU,Large
CGPOWER,2026-06-01,Primary_Buy,100.0,CGPOWER,Non-PSU,Large
CHAMBLFERT,2026-06-01,Primary_Buy,100.0,CHAMBLFERT,Non-PSU,Large
CHENNPETRO,2026-06-01,Primary_Buy,100.0,CHENNPETRO,Non-PSU,Large
CHOLAFIN,2026-06-01,Primary_Buy,100.0,CHOLAFIN,Non-PSU,Large
CLEAN,2026-06-01,Primary_Buy,100.0,CLEAN,Non-PSU,Large
CMPDI,2026-06-01,Primary_Buy,100.0,CMPDI,Non-PSU,Large
COROMANDEL,2026-06-01,Primary_Buy,100.0,COROMANDEL,Non-PSU,Large
CPPLUS,2026-06-01,Primary_Buy,100.0,CPPLUS,Non-PSU,Large
CUMMINSIND,2026-06-01,Primary_Buy,100.0,CUMMINSIND,Non-PSU,Large
